code,name,id,level,parent.id,geometry.type,ward.parent.id,ward,subcounty.parent.id,subcounty,county.parent.id,county,mflcode,geometry.coordinates_1,geometry.coordinates_2
Keipsl14182,8Th Street Clinic,LkK5zXc0RtP,7,evLQO618WUk,Point,h5eobW8jqvz,Kaputiei North ,iO2edHMzzoa,Kajiado East ,HfVjCurKxh2,Kajiado ,14182,36.50854,-1.41187
Keipsl16796,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,7,v2Nv5pZeWDo,Point,d2JEo103gPA,Parklands/highridge ,DW4iKNGrY42,Westlands ,HfVjCurKxh2,Nairobi ,16796,36.80211,-1.2617
Keipsl19958,AAR Gwh Health Care Ltd,jHTAFl3Gyj9,7,WV5TxGUwFxH,Point,AIoQor5h6tb,Woodley/kenyatta golf course ,DW4iKNGrY42,Kibra ,HfVjCurKxh2,Nairobi ,19958,36.80897,-1.29467
Keipsl20956,AAR Kisumu,ZUkzZLrNaiP,7,yRgMm7nEuSc,Point,hXo6YiInnIL,Market milimani ,RP2cXnuZq8a,Kisumu Central ,HfVjCurKxh2,Kisumu ,20956,34.751097,-0.099999
Keipsl11721,AAR Nyali Health Care,Ev2Viaztz2a,7,dqBEFmhgGvS,Point,Am4Dt4x0kbI,Ziwa la ng'ombe ,S0nWEBcp4qo,Nyali ,HfVjCurKxh2,Mombasa ,11721,39.71669,-4.02797
151,Abakaile Ward,AUwENR8rh0t,6,f663NMo0Q16,NA,f663NMo0Q16,Abakaile ,qIpTCaEVo8q,Dadaab ,HfVjCurKxh2,Garissa ,151,NULL,
Keipsl13265,Abakore Sub District Hospital,oqlpemVDy6z,7,vbGxTlETy7a,Point,pfsnNOdgX34,Habasswein ,q93HBF7r7P4,Wajir South ,HfVjCurKxh2,Wajir ,13265,39.71226,0.63091
Keipsl19484,Abby Clinic,FVbfVk79XNf,7,lOo6k3pqgbG,Point,d2JEo103gPA,Kangemi ,DW4iKNGrY42,Westlands ,HfVjCurKxh2,Nairobi ,19484,36.74795,-1.26379
Keipsl12126,ABC Thange Dispensary,nfuGryg4y98,7,FIImQkA1bpD,Point,Sk7DgoU3afm,Thange ,M5TOiiYVWwN,Kibwezi East ,HfVjCurKxh2,Makueni ,12126,38.01595,-2.50087
Keipsl17009,Abdisamad Dispensary,nHi5WNsrpZS,7,EAZnWbyh8me,Point,QtbvoVXZSL6,Sankuri ,qIpTCaEVo8q,Balambala ,HfVjCurKxh2,Garissa ,17009,39.65491,0.04883
Keipsl20689,Abdiwaqo Dispensary,YjBfcJXE84d,7,f8uPUpmhdAj,NA,C6bZQHmFJvk,Della ,q93HBF7r7P4,Eldas ,HfVjCurKxh2,Wajir ,20689,NULL,
Keipsl10001,Abel Migwi Johana Laboratory,sidfjrL7OLa,7,oFcYcb8n44V,NA,DTGQS1RlSoX,Kariti ,gn42ZCLVhzf,Kirinyaga West ,HfVjCurKxh2,Kirinyaga ,10001,NULL,
Keipsl13461,Abidha Health Centre,tvVfWGz7yvh,7,MaRsh9V5LtP,Point,Lkjyg0yFY1A,East Asembo ,mMORYzJBnzi,Rarieda ,HfVjCurKxh2,Siaya ,13461,34.41064,-0.15902
Keipsl16716,Able Medical Clinic,webSeE8tLMp,7,KmobMFYlYuT,Point,hO4CKokfsxP,Isukha Central ,M0xXLu8QbHW,Shinyalu ,HfVjCurKxh2,Kakamega ,16716,34.81428,0.22351
293,Abogeta East Ward,qAQnmxGIPeu,6,acCFMcwZxIs,NA,acCFMcwZxIs,Abogeta East ,xy2ubunOGVi,Imenti South ,HfVjCurKxh2,Meru ,293,NULL,
294,Abogeta West Ward,QGJGeMaUXmk,6,acCFMcwZxIs,NA,acCFMcwZxIs,Abogeta West ,xy2ubunOGVi,Imenti South ,HfVjCurKxh2,Meru ,294,NULL,
Keipsl15789,Aboloi Dispensary,VmemRezEHJf,7,qWPAM9ht7ED,Point,hQ2SZfhAm87,Ang'urai South ,VljEgS6qanC,Teso North ,HfVjCurKxh2,Busia ,15789,34.39563,0.65654
286,Abothuguchi Central Ward,SkMWH4D9iWW,6,dBvWc5zsKRs,NA,dBvWc5zsKRs,Abothuguchi Central ,xy2ubunOGVi,Imenti Central ,HfVjCurKxh2,Meru ,286,NULL,
287,Abothuguchi West Ward,o7Rr3xyrp6X,6,dBvWc5zsKRs,NA,dBvWc5zsKRs,Abothuguchi West ,xy2ubunOGVi,Imenti Central ,HfVjCurKxh2,Meru ,287,NULL,
Keipsl20823,Ace Africa (k) Wellness Centre,nEwHdsmfYro,7,HIe9TxuNZt1,Point,BIHVMlZrkgA,Bukembe east ,A1gVLZ5bHiS,Kanduyi ,HfVjCurKxh2,Bungoma ,20823,34.55289,0.59266
Keipsl12791,Acef Ena Health Centre,VUv3MNGbLMe,7,AtW7DC8KqQb,Point,rAkdrmfZHgT,Kaagari South ,h8m60u0XlJf,Runyenjes ,HfVjCurKxh2,Embu ,12791,37.55271,-0.47344
Keipsl11918,ACK Dispensary (Isiolo),hZpnfZNeoxD,7,Y92No90HFw7,Point,olHxLXQSkGq,Burat ,WdtNaOc3FbT,Isiolo ,HfVjCurKxh2,Isiolo ,11918,37.57572,0.35699
Keipsl20653,ACK Hope Compassionate Center,wltr8qenPZO,7,TPtKgyFcsc8,Point,yHQwLEALL35,Homa bay central ,gbepWpyaGdj,Homa Bay Town ,HfVjCurKxh2,Homa Bay ,20653,34.468029,-0.536143
Keipsl17980,ACK Kanunga,ISyGOLM34Pf,7,okFXUwU4YRR,NA,JcXZiATbQwx,Ndumberi ,A0BC4zSGPwM,Kiambu Town ,HfVjCurKxh2,Kiambu ,17980,NULL,
Keipsl11195,Acode Medical Clinic Maungu,ePibTmbhH7b,7,I81c9pDnH7j,Point,YCJqCJUsbKh,Marungu ,I5jmTunFZY2,Voi ,HfVjCurKxh2,Taita Taveta ,11195,38.75037,-3.55733
ke4noreasternwajirwajirnoradadijolecommunityunit,Adadijole Community Unit,l3wlIFZBdVE,7,WUFDmToUTEq,NA,kZ5iRioE0Wi,Bute ,q93HBF7r7P4,Wajir North ,HfVjCurKxh2,Wajir ,ke4noreasternwajirwajirnoradadijolecommunityunit,NULL,
